Column,Model,Class_Code,Prop_Code,Valid,Class_Score,Prop_Score,accept
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P92_brought_into_existence,✗,"0,4273","0,5532",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P91_has_unit,✗,"0,4273","0,5501",✗
n° US,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P65_shows_visual_item,✗,"0,4273","0,5465",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P168_place_is_defined_by,✗,"0,4864","0,6376",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P171_at_some_place_within,✗,"0,4864","0,5949",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P53_has_former_or_current_location,✓,"0,4864","0,5826",✓
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P46_is_composed_of,✗,"0,4864","0,5811",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P126_employed,✗,"0,4864","0,58",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P91_has_unit,✗,"0,4864","0,5783",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P108_has_produced,✗,"0,4864","0,576",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P45_consists_of,✗,"0,4864","0,5757",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P7_took_place_at,✗,"0,4864","0,5732",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E53_Place,P89_falls_within,✗,"0,4864","0,5693",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P168_place_is_defined_by,✗,"0,4725","0,6376",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P171_at_some_place_within,✗,"0,4725","0,5949",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P53_has_former_or_current_location,✗,"0,4725","0,5826",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P46_is_composed_of,✓,"0,4725","0,5811",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P126_employed,✗,"0,4725","0,58",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P91_has_unit,✗,"0,4725","0,5783",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P108_has_produced,✗,"0,4725","0,576",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P45_consists_of,✗,"0,4725","0,5757",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P7_took_place_at,✗,"0,4725","0,5732",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E27_Site,P89_falls_within,✗,"0,4725","0,5693",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P168_place_is_defined_by,✗,"0,4181","0,6376",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P171_at_some_place_within,✗,"0,4181","0,5949",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P53_has_former_or_current_location,✗,"0,4181","0,5826",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P46_is_composed_of,✗,"0,4181","0,5811",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P126_employed,✗,"0,4181","0,58",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P91_has_unit,✗,"0,4181","0,5783",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P108_has_produced,✗,"0,4181","0,576",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P45_consists_of,✗,"0,4181","0,5757",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P7_took_place_at,✗,"0,4181","0,5732",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E9_Move,P89_falls_within,✗,"0,4181","0,5693",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P168_place_is_defined_by,✗,"0,321","0,6376",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P171_at_some_place_within,✗,"0,321","0,5949",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P53_has_former_or_current_location,✗,"0,321","0,5826",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P46_is_composed_of,✓,"0,321","0,5811",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P126_employed,✗,"0,321","0,58",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P91_has_unit,✗,"0,321","0,5783",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P108_has_produced,✗,"0,321","0,576",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P45_consists_of,✗,"0,321","0,5757",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P7_took_place_at,✗,"0,321","0,5732",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E19_Physical_Object,P89_falls_within,✗,"0,321","0,5693",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P168_place_is_defined_by,✗,"0,3084","0,6376",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P171_at_some_place_within,✗,"0,3084","0,5949",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P53_has_former_or_current_location,✗,"0,3084","0,5826",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P46_is_composed_of,✗,"0,3084","0,5811",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P126_employed,✗,"0,3084","0,58",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P91_has_unit,✗,"0,3084","0,5783",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P108_has_produced,✗,"0,3084","0,576",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P45_consists_of,✗,"0,3084","0,5757",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P7_took_place_at,✗,"0,3084","0,5732",✗
Localisation,paraphrase-multilingual-mpnet-base-v2,E36_Visual_Item,P89_falls_within,✗,"0,3084","0,5693",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P171_at_some_place_within,✗,"0,4116","0,645",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P172_contains,✗,"0,4116","0,6068",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P133_is_spatiotemporally_separated_from,✗,"0,4116","0,5994",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P132_spatiotemporally_overlaps_with,✗,"0,4116","0,5958",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P161_has_spatial_projection,✗,"0,4116","0,582",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P167_was_within,✗,"0,4116","0,5602",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P196_defines,✗,"0,4116","0,5564",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P168_place_is_defined_by,✗,"0,4116","0,5558",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P156_occupies,✓,"0,4116","0,5551",✓
Etendue,paraphrase-multilingual-mpnet-base-v2,E53_Place,P89_falls_within,✗,"0,4116","0,5525",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P171_at_some_place_within,✗,"0,4096","0,645",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P172_contains,✗,"0,4096","0,6068",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P133_is_spatiotemporally_separated_from,✗,"0,4096","0,5994",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P132_spatiotemporally_overlaps_with,✗,"0,4096","0,5958",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P161_has_spatial_projection,✗,"0,4096","0,582",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P167_was_within,✗,"0,4096","0,5602",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P196_defines,✗,"0,4096","0,5564",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P168_place_is_defined_by,✗,"0,4096","0,5558",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P156_occupies,✗,"0,4096","0,5551",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E27_Site,P89_falls_within,✗,"0,4096","0,5525",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P171_at_some_place_within,✗,"0,394","0,645",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P172_contains,✗,"0,394","0,6068",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P133_is_spatiotemporally_separated_from,✗,"0,394","0,5994",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P132_spatiotemporally_overlaps_with,✗,"0,394","0,5958",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P161_has_spatial_projection,✗,"0,394","0,582",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P167_was_within,✗,"0,394","0,5602",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P196_defines,✓,"0,394","0,5564",✓
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P168_place_is_defined_by,✗,"0,394","0,5558",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P156_occupies,✗,"0,394","0,5551",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E92_Spacetime_Volume,P89_falls_within,✗,"0,394","0,5525",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P171_at_some_place_within,✗,"0,3712","0,645",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P172_contains,✗,"0,3712","0,6068",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P133_is_spatiotemporally_separated_from,✗,"0,3712","0,5994",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P132_spatiotemporally_overlaps_with,✗,"0,3712","0,5958",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P161_has_spatial_projection,✗,"0,3712","0,582",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P167_was_within,✗,"0,3712","0,5602",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P196_defines,✗,"0,3712","0,5564",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P168_place_is_defined_by,✗,"0,3712","0,5558",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P156_occupies,✗,"0,3712","0,5551",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E52_Time-Span,P89_falls_within,✗,"0,3712","0,5525",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P171_at_some_place_within,✗,"0,3315","0,645",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P172_contains,✗,"0,3315","0,6068",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P133_is_spatiotemporally_separated_from,✗,"0,3315","0,5994",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P132_spatiotemporally_overlaps_with,✗,"0,3315","0,5958",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P161_has_spatial_projection,✗,"0,3315","0,582",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P167_was_within,✗,"0,3315","0,5602",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P196_defines,✓,"0,3315","0,5564",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P168_place_is_defined_by,✗,"0,3315","0,5558",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P156_occupies,✗,"0,3315","0,5551",✗
Etendue,paraphrase-multilingual-mpnet-base-v2,E93_Presence,P89_falls_within,✗,"0,3315","0,5525",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P142_used_constituent,✗,"0,4442","0,6549",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P108_has_produced,✗,"0,4442","0,6112",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P92_brought_into_existence,✗,"0,4442","0,5928",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P35_has_identified,✗,"0,4442","0,5815",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P126_employed,✗,"0,4442","0,571",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P136_was_based_on,✗,"0,4442","0,563",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P1_is_identified_by,✓,"0,4442","0,5527",✓
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P186_produced_thing_of_product_type,✗,"0,4442","0,5513",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P65_shows_visual_item,✗,"0,4442","0,55",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P164_is_temporally_specified_by,✗,"0,4442","0,5489",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P142_used_constituent,✗,"0,4095","0,6549",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P108_has_produced,✗,"0,4095","0,6112",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P92_brought_into_existence,✗,"0,4095","0,5928",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P35_has_identified,✗,"0,4095","0,5815",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P126_employed,✗,"0,4095","0,571",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P136_was_based_on,✗,"0,4095","0,563",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P1_is_identified_by,✓,"0,4095","0,5527",✓
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P186_produced_thing_of_product_type,✗,"0,4095","0,5513",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P65_shows_visual_item,✗,"0,4095","0,55",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E35_Title,P164_is_temporally_specified_by,✗,"0,4095","0,5489",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P142_used_constituent,✗,"0,4083","0,6549",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P108_has_produced,✗,"0,4083","0,6112",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P92_brought_into_existence,✗,"0,4083","0,5928",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P35_has_identified,✗,"0,4083","0,5815",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P126_employed,✗,"0,4083","0,571",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P136_was_based_on,✗,"0,4083","0,563",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P1_is_identified_by,✗,"0,4083","0,5527",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P186_produced_thing_of_product_type,✗,"0,4083","0,5513",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P65_shows_visual_item,✓,"0,4083","0,55",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P164_is_temporally_specified_by,✗,"0,4083","0,5489",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P142_used_constituent,✗,"0,3757","0,6549",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P108_has_produced,✗,"0,3757","0,6112",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P92_brought_into_existence,✗,"0,3757","0,5928",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P35_has_identified,✗,"0,3757","0,5815",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P126_employed,✗,"0,3757","0,571",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P136_was_based_on,✗,"0,3757","0,563",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P1_is_identified_by,✗,"0,3757","0,5527",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P186_produced_thing_of_product_type,✗,"0,3757","0,5513",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P65_shows_visual_item,✗,"0,3757","0,55",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E90_Symbolic_Object,P164_is_temporally_specified_by,✗,"0,3757","0,5489",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P142_used_constituent,✗,"0,356","0,6549",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P108_has_produced,✗,"0,356","0,6112",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P92_brought_into_existence,✗,"0,356","0,5928",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P35_has_identified,✗,"0,356","0,5815",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P126_employed,✗,"0,356","0,571",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P136_was_based_on,✗,"0,356","0,563",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P1_is_identified_by,✗,"0,356","0,5527",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P186_produced_thing_of_product_type,✗,"0,356","0,5513",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P65_shows_visual_item,✗,"0,356","0,55",✗
Antérieur à,paraphrase-multilingual-mpnet-base-v2,E15_Identifier_Assignment,P164_is_temporally_specified_by,✗,"0,356","0,5489",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P108_has_produced,✗,"0,4083","0,6473",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P142_used_constituent,✗,"0,4083","0,6146",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P126_employed,✗,"0,4083","0,6102",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P92_brought_into_existence,✗,"0,4083","0,6098",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P103_was_intended_for,✗,"0,4083","0,6065",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P39_measured,✗,"0,4083","0,5921",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P31_has_modified,✗,"0,4083","0,5876",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P136_was_based_on,✗,"0,4083","0,585",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P34_concerned,✗,"0,4083","0,5836",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E37_Mark,P35_has_identified,✗,"0,4083","0,5772",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P108_has_produced,✗,"0,4056","0,6473",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P142_used_constituent,✗,"0,4056","0,6146",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P126_employed,✗,"0,4056","0,6102",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P92_brought_into_existence,✗,"0,4056","0,6098",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P103_was_intended_for,✗,"0,4056","0,6065",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P39_measured,✗,"0,4056","0,5921",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P31_has_modified,✗,"0,4056","0,5876",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P136_was_based_on,✗,"0,4056","0,585",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P34_concerned,✗,"0,4056","0,5836",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E31_Document,P35_has_identified,✗,"0,4056","0,5772",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P108_has_produced,✗,"0,4017","0,6473",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P142_used_constituent,✗,"0,4017","0,6146",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P126_employed,✗,"0,4017","0,6102",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P92_brought_into_existence,✗,"0,4017","0,6098",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P103_was_intended_for,✗,"0,4017","0,6065",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P39_measured,✗,"0,4017","0,5921",✗
Postérieur à,paraphrase-multilingual-mpnet-base-v2,E42_Identifier,P31_has_modified,✗,"0,4017","0,5876",✗
